Date,Pitcher,O/U K,Mean Release MPH,Mean Release X,Mean Release Y,Mean Release Z,K/9,K/BB,WHIP,ERA,GB/FB,Opp. Team,Opp. Win %,Opp BA,Opp OBP,Opp OPS+,Opp K,Opp BB,Over/Under?
2022-10-04,Cory Abbott,3.5,88.58982827,-2.582324967,54.34114927,5.692470277,8,1.86,1.364,5.11,0.28,NYM,0.616,0.2580226303,0.3300346363,112.154544,1191,499,1
2022-10-04,Chris Flexen,3.5,87.11500938,-0.8949132677,54.51766526,6.910675105,6.3,1.86,1.324,3.64,0.34,DET,0.415,0.2304042513,0.2858633281,82.85654669,1385,373,0
2022-10-04,Daniel Lynch,4.5,89.23683312,1.39785318,53.64513871,5.798839095,8.5,2.4,1.551,4.96,0.43,CLE,0.563,0.2526411658,0.3138350312,101.0977654,1111,445,0
2022-10-04,Cal Quantrill,4.5,90.2968684,-1.279581281,54.13774806,6.40862069,6.2,2.64,1.219,3.42,0.42,KC,0.406,0.2448789572,0.3066307641,93.96129249,1265,459,0
2022-10-04,Eduardo Rodriguez,4.5,89.70617665,1.792814815,54.3395,5.782765432,6.9,1.97,1.341,4.02,0.44,SEA,0.547,0.2283599089,0.3126459793,104.3722055,1368,585,1
2022-10-04,JT Brubaker,3.5,88.71394191,-2.312912863,54.85415353,6.20080083,9.2,2.74,1.458,4.58,0.44,STL,0.575,0.2522140221,0.3252794214,114.7981591,1213,532,0
2022-10-04,Dakota Hudson,3.5,88.96596306,-1.825492524,54.19595866,6.113434477,5.1,1.31,1.394,4.07,0.53,PIT,0.381,0.2209125475,0.2885077187,81.60497427,1486,467,0
2022-10-04,Braxton Garrett,4.5,87.11226766,2.732669145,54.10021561,6.045434944,9,4.37,1.188,3.56,0.46,ATL,0.625,0.2522075055,0.3159826493,109.1069403,1478,459,1
2022-10-04,Javier Assad,4.5,89.05572139,-1.83185738,53.92396352,5.889784411,7.2,1.37,1.546,3.62,0.41,CIN,0.381,0.2354158826,0.3025580213,80.97967135,1410,444,0
2022-10-04,Jake Odorizzi,3.5,88.49092983,-0.9983685111,54.369498,5.986217912,7,2.32,1.362,4.53,0.32,MIA,0.425,0.2296866204,0.2928656564,84.75106419,1410,426,1
2022-10-04,Luis Cessa,3.5,88.23560477,-0.9782282794,54.81738501,6.059241908,6.5,2.04,1.348,4.76,0.5,CHC,0.456,0.238557818,0.3099532398,95.18754175,1425,497,1
2022-10-04,Jeffrey Springs,4.5,86.34917414,2.315733837,54.04958943,6.070160453,9.6,4.7,1.073,2.45,0.42,BOS,0.475,0.2573355203,0.319579155,101.0284399,1360,470,0
2022-10-04,Nathan Eovaldi,5.5,89.16435821,-2.378220896,53.85445373,5.501737313,8.5,5.5,1.256,4.05,0.48,TB,0.538,0.2395600298,0.3080154596,99.26684591,1383,492,0
2022-10-04,Zac Gallen,6.5,89.55321918,-2.875804795,53.92057192,5.902078767,9.4,4.23,0.894,2.46,0.48,MIL,0.531,0.2346347842,0.3151024455,104.8425314,1444,571,0
2022-10-04,Eric Lauer,5.5,88.85017449,1.524590927,54.32708802,5.944350523,8.8,2.73,1.245,3.83,0.35,ARI,0.456,0.2307546813,0.303121853,95.42900302,1320,526,1
2022-10-04,Justin Verlander,6.5,89.639672,-1.619582194,54.42033971,6.960238188,9.3,6.25,0.847,1.8,0.38,PHI,0.544,0.2548298068,0.3179171519,108.5992347,1331,475,1
2022-10-04,Ranger Suarez,3.5,89.15956693,2.25607874,54.32938189,5.843307087,7.5,2.27,1.3,3.37,0.56,HOU,0.65,0.2457389024,0.3168283707,109.8653396,1168,522,0
