Date,Pitcher,O/U K,Mean Release MPH,Mean Release X,Mean Release Y,Mean Release Z,K/9,K/BB,WHIP,ERA,GB/FB,Opp. Team,Opp. Win %,Opp BA,Opp OBP,Opp OPS+,Opp K,Opp BB,Over/Under?,Actual
2023-04-11,Jacob deGrom,9.5,95.30363636,-1.464848485,53.69884848,5.671333333,16.8,9,1.035,5.59,0.37,KC,0.273,0.1786743516,0.2473684211,56.40526316,102,28,0,
2023-04-11,Gerrit Cole,6.5,93.53179298,-1.791866913,54.25685767,5.829833641,13.9,3.8,0.892,0.73,0.43,CLE,0.636,0.2390745501,0.3318681319,94.58241758,90,56,0,
2023-04-11,Shohei Ohtani,7.5,88.84264706,-2.198578431,53.7254902,5.698382353,13.5,2.57,1,0.75,0.29,WSN,,,,,,,0,
2023-04-11,Cristian Javier,6.5,85.77351916,-2.004111498,54.51710801,5.678780488,9,11,1.273,3.27,0.38,PIT,0.6,0.2317073171,0.3101604278,93.57219251,83,38,0,
2023-04-11,Lance Lynn,5.5,88.83943089,-3.291300813,53.91804878,5.612113821,9.9,1.57,1.9,9,0.24,MIN,0.6,0.2278106509,0.3031914894,80.06648936,87,32,1,
2023-04-11,Alek Manoah,6.5,87.93381743,-2.865560166,53.72510373,5.832157676,7,1.33,1.548,4.35,0.38,DET,0.222,0.2045454545,0.2604790419,56.23952096,90,23,0,
2023-04-11,Shane McClanahan,6.5,91.44076655,0.7532055749,53.60470383,6.165888502,9,2.4,1.167,1.5,0.53,BOS,0.5,0.2448979592,0.324742268,105.1417526,72,36,1,
2023-04-11,Aaron Nola,6.5,86.81742424,-2.096540404,53.84381313,5.218863636,8.4,3,1.448,7.45,0.34,MIA,0.364,0.2329545455,0.2979274611,79.55181347,102,32,0,
2023-04-11,Kyle Wright,6.5,90.15964912,-1.972631579,53.98333333,5.635438596,,,,,,,,,,,,,0,
2023-04-11,Corbin Burnes,5.5,90.37166667,-0.8259444444,53.96427778,5.928111111,5.8,1.2,1.714,9.64,0.58,ARI,0.636,0.2690217391,0.3167082294,101.0872818,77,21,1,
2023-04-11,Josiah Gray,5.5,88.49735294,-1.871058824,54.76552941,5.207823529,8.2,3.33,1.636,4.91,0.5,LAA,0.5,0.2412790698,0.3308080808,,,,0,
